Question Number,Module number,Module name,Section,2024 Question,Integrated,Environmental issues covered,Sector,Public authorities,Supply chain only,Climate change,2023 Climate change question number,Forests change,2023 Forests question number,Water change,2023 Water Security question number,Integration,Alignment with IFRS S2,Alignment with other standard or framework,General improvement,Notes for changes,IFRS-S2,TNFD,ESRS,AFi
11.17.1,11,Environmental Performance – Biodiversity,Closure and rehabilitation,"Provide details on the area rehabilitated (total/reporting year) for each of your mining projects, including post-mining land use.",No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM14.8a/F-CO14.8a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.18,11,Environmental Performance – Biodiversity,Engagement activities,Do you collaborate or engage in partnerships with non-governmental organizations to promote the implementation of your biodiversity-related goals and commitments?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM15.3/F-CO15.3,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.18.1,11,Environmental Performance – Biodiversity,Engagement activities,Provide details on main collaborations and/or partnerships with non-governmental organizations that were active during the reporting year.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM15.3a/F-CO15.3a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.19,11,Environmental Performance – Biodiversity,Engagement activities,Do you engage with artisanal and small-scale miners operating within your mining concessions or in their area of influence?,No,Biodiversity,M-B,No,No,n/a,n/a,Minor change,F-MM15.4/F-CO15.4,n/a,n/a,No,No,No,Yes,Question text updated for consistency of language.,No,No,No,No
11.19.1,11,Environmental Performance – Biodiversity,Engagement activities,Describe your engagement approach to artisanal and small-scale mining (ASM) during the reporting year.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM15.4a/F-CO15.4a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.20,11,Environmental Performance – Biodiversity,Engagement activities,Do you engage with other stakeholders to further the implementation of your policies concerning biodiversity?,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM15.5/F-CO15.5,n/a,n/a,No,No,No,No,No change question,No,No,No,No
11.20.1,11,Environmental Performance – Biodiversity,Engagement activities,Provide relevant examples of other biodiversity-related engagement activities that happened during the reporting year.,No,Biodiversity,M-B,No,No,n/a,n/a,No change,F-MM15.5a/F-CO15.5a,n/a,n/a,No,No,No,No,No change question,No,No,No,No
12.1,12,Environmental Performance – FS,Environmental impact of portoflio and emissions breakdown (FS only),Does your organization measure the impact of your portfolio on the environment?,Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,"C-FS14.1, FW-FS5.1",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Questions FW-FS5.1 and C-FS14.1 merged into one question for integration.,No,No,No,No
12.1.1,12,Environmental Performance – FS,Environmental impact of portfolio and emissions breakdown (FS only),Provide details of your organization's financed emissions in the reporting year and in the base year. ,No,Climate Change,FS,No,No,Modified question,C-FS14.1a,n/a,n/a,n/a,n/a,No,Yes,Yes,No,Minor wording changes. Additional columns added to facilitate alignment with Partnership for Carbon Accounting Financials (PCAF) and IFRS S2. Asset class list updated to align with IFRS S2.,Yes,No,No,No
12.1.2,12,Environmental Performance – FS,Environmental impact of portfolio and emissions breakdown (FS only),Disclose or restate your financed emissions for previous years.  ,No,Climate Change,FS,No,No,Modified question,C-FS14.1c,n/a,n/a,n/a,n/a,No,No,No,No,Minor wording changes.,No,No,No,No
12.1.3,12,Environmental Performance – FS,Environmental impact of portfolio and emissions breakdown (FS only),Provide details of the other metrics used to track the impact of your portfolio on the environment.,Yes,"Climate Change, Forests, Water, Biodiversity",FS,No,No,Modified question,C-FS14.1b,New question,n/a,New question,n/a,Yes,No,Yes,No,Introduced an environmental issue column and new metrics added to facilitate integration. New metrics added in alignment with other frameworks. ,No,No,No,No
12.2,12,Environmental Performance – FS,Environmental impact of portfolio and emissions breakdown (FS only),Are you able to provide a breakdown of your organization's financed emissions and other portfolio carbon footprinting metrics? ,No,Climate Change,FS,No,No,Modified question,C-FS14.2,n/a,n/a,n/a,n/a,No,No,No,Yes,Portfolio column added to allow for breakdown by each portfolio type.,No,No,No,No
12.2.1,12,Environmental Performance – FS,Environmental impact of portfolio and emissions breakdown (FS only),"Break down your organization’s financed emissions and other portfolio carbon footprinting metrics by asset class, by industry, and/or by scope.",No,Climate Change,FS,No,No,Modified question,"C-FS14.2a, C-FS14.2b, C-FS14.2d",n/a,n/a,n/a,n/a,No,Yes,No,Yes,"2023 C-FS14.2a, C-FS14.2b and C-FS14.2d have been merged into one question to facilitate alignment with IFRS S2. Asset Class list has been updated to align with IFRS S2.",No,No,No,No
12.3,12,Environmental Performance – FS,Portfolio values (FS only),State the values of your financing and insurance of fossil fuel assets in the reporting year.,No,Climate Change,FS,No,No,Modified question,C-FS14.0,n/a,n/a,n/a,n/a,No,No,No,No,Minor wording changes.,No,No,No,No
12.4,12,Environmental Performance – FS,Portfolio values (FS only),"Does your organization provide finance and/or insurance to companies  in the commodity value chain? If so, for each commodity and portfolio, state the values of your financing and/or insurance in the reporting year.",No,Forests,FS,No,No,Modified question,"FW-FS5.2, FW-FS5.2a",Modified question,n/a,n/a,n/a,No,No,No,No,Minor wording changes.,No,No,No,No
12.5,12,Environmental Performance – FS,Portfolio values (FS only),"In the reporting year, did your organization finance and/or insure activities or sectors that are aligned with, or eligible under, a sustainable finance taxonomy? If so, are you able to report the values of that financing and/or underwriting? ",No,Climate Change,FS,No,No,New question,n/a,n/a,n/a,n/a,n/a,No,No,Yes,No,New question added to facilitate alignment with sustainable finance taxonomies.,No,No,No,No
12.6,12,Environmental Performance – FS,Environmentally sustainable products/services (FS only)  ,Do any of your existing products and services enable clients to mitigate and/or adapt to the effects of environmental issues?  ,Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS4.5, FW-FS3.4",Modified question,n/a,Modified question,n/a,Yes,No,No,No,Rephrased question text to apply to all environmental issues.,No,No,No,No
12.6.1,12,Environmental Performance – FS,Environmentally sustainable products/services (FS only)  ,"Provide details of your existing products and services that enable clients to mitigate and/or adapt to the effects of environmental issues, including any taxonomy or methodology used to classify the products and services.",Yes,"Climate Change, Forests, Water",FS,No,No,Modified question,"C-FS4.5a, FW-FS3.4a",Modified question,n/a,Modified question,n/a,Yes,No,Yes,No,Introduced an environmental issue column facilitating integration. New columns added to facilitate alignment with the SFDR.,No,No,No,No
12.7,12,Environmental Performance – FS,Other Portfolio Targets,"Has your organization set targets for deforestation and conversion-free and/or water-secure lending, investing and/or insuring? ",Yes,"Forests,Water",FS,No,No,Minor change,FW-FS3.3,Minor change,n/a,Minor change,n/a,No,No,No,No,Minor wording changes.,No,No,No,No
12.7.1,12,Environmental Performance – FS,Other Portfolio Targets," Provide details of your targets for deforestation and conversion free and/or water-secure lending, investing and/or insuring. ",Yes,"Forests,Water",FS,No,No,Modified question,FW-FS3.3a,Modified question,n/a,Modified question,n/a,No,No,No,Yes,Additional columns added to improve disclosure on other portfolio targets.,No,No,No,No
13.1,13,Further Information and Sign Off,Verification of other environmental information,"Indicate if any environmental information included in your CDP response (not already reported in 7.9.1/2/3, 8.9.1/2/3/4, and 9.3.2) is verified and/or assured by a third party?",Yes,All,All sectors,Yes,No,Modified question,C10.2,Modified question,"F7.1, F7.1a, F-MM16.1/F-CO16.1",Modified question,W9.1,Yes,No,No,Yes,Wording clarified to improve clarity of data request.,No,No,No,Yes
13.1.1,13,Further Information and Sign Off,Verification of other environmental information,"Which data points within your CDP response are verified and/or assured by a third party, and which standards were used?",Yes,All,All sectors,Yes,No,Modified question,C10.2a,Modified question,"F7.1a, F-MM16.1a/F-CO16.1a",Modified question,W9.1a,Yes,Yes,Yes,Yes,"Updated to facilitate integration, text fields were replaced with drop-down selections to reduce reporting burden. Updates to increase alignment with ESRS and AFi. ",Yes,No,Yes,Yes
13.2,13,Further Information and Sign Off,Further information,Use this field to provide any additional information or context that you feel is relevant to your organization's response. Please note that this field is optional and is not scored.,Yes,All,All sectors,Yes,No,No change,C-FI,No change,F-FI,No change,W-FI,No,No,No,No,No change question,No,No,No,No
13.3,13,Further Information and Sign Off,Sign Off,Provide the following information for the person that has signed off (approved) your CDP response.,Yes,All,All sectors,Yes,No,No change,C16.1,No change,F17.1,No change,W11.1,No,No,No,No,No change question,No,No,No,No
13.4,13,Further Information and Sign Off,Water Action Hub,Please indicate your consent for CDP to share contact details with the Pacific Institute to support content for its Water Action Hub website.,No,Water,All sectors,No,No,N/A,N/A,N/A,N/A,No change,Submission Page,No,No,No,No,No change question,No,No,No,No
